animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
lynx,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
mink,True,False,False,True,False,True,True,True,True,True,False,False,4,True,False,True,mammal
mole,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
mongoose,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
moth,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
newt,False,False,True,False,False,True,True,True,True,True,False,False,4,True,False,False,amphibian
octopus,False,False,True,False,False,True,True,False,False,False,False,False,8,False,False,True,invertebrate
opossum,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
oryx,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
ostrich,False,True,True,False,False,False,False,False,True,True,False,False,2,True,False,True,bird
parakeet,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
penguin,False,True,True,False,False,True,True,False,True,True,False,False,2,True,False,True,bird
pheasant,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
pike,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,fish
piranha,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
pitviper,False,False,True,False,False,False,True,True,True,True,True,False,0,True,False,False,reptile
platypus,True,False,True,True,False,True,True,False,True,True,False,False,4,True,False,True,mammal
polecat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
pony,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
porpoise,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
puma,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
pussycat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,mammal
raccoon,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
reindeer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
rhea,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,bird
scorpion,False,False,False,False,False,False,True,False,False,True,True,False,8,True,False,False,invertebrate
seahorse,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
seal,True,False,False,True,False,True,True,True,True,True,False,True,0,False,False,True,mammal
sealion,True,False,False,True,False,True,True,True,True,True,False,True,2,True,False,True,mammal
seasnake,False,False,False,False,False,True,True,True,True,False,True,False,0,True,False,False,reptile
seawasp,False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,invertebrate
skimmer,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
skua,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
slowworm,False,False,True,False,False,False,True,True,True,True,False,False,0,True,False,False,reptile
slug,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,invertebrate
sole,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
sparrow,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
squirrel,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,mammal
starfish,False,False,True,False,False,True,True,False,False,False,False,False,5,False,False,False,invertebrate
stingray,False,False,True,False,False,True,True,True,True,False,True,True,0,True,False,True,fish
swan,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,bird
termite,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,insect
toad,False,False,True,False,False,True,False,True,True,True,False,False,4,False,False,False,amphibian
tortoise,False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,reptile
tuatara,False,False,True,False,False,False,True,True,True,True,False,False,4,True,False,False,reptile
tuna,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,fish
vampire,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,mammal
vole,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,mammal
vulture,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,True,bird
wallaby,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,True,mammal
wasp,True,False,True,False,True,False,False,False,False,True,True,False,6,False,False,False,insect
wolf,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
worm,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,invertebrate
wren,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
