"Influences","Influenced"
"William S. Burroughs","David Bowie "
"Harlan Ellison","Dan Simmons "
"Jack Vance","Dan Simmons "
"Lenny Bruce","Denis Leary "
"Richard Pryor","Denis Leary "
"Sam Kinison","Denis Leary "
"George Carlin","Denis Leary "
"Ray Bradbury","Dean Koontz "
"John D. MacDonald","Dean Koontz "
"Jack Vance","Dean Koontz "
"Franz Kafka","Elias Canetti "
"Otto Weininger","Elias Canetti "
"John Rubens Smith","Emanuel Leutze "
"Giovanni Pico della Mirandola","Desiderius Erasmus "
"Lucian","Desiderius Erasmus "
"John Colet","Desiderius Erasmus "
"Richard Evans Schultes","E. O. Wilson "
"Georg Wilhelm Friedrich Hegel","Friedrich Nietzsche "
"Plato","Friedrich Nietzsche "
"Johann Wolfgang von Goethe","Friedrich Nietzsche "
"African Spir","Friedrich Nietzsche "
"Baltasar Gracián","Friedrich Nietzsche "
"Jean-Jacques Rousseau","Friedrich Nietzsche "
"Michel de Montaigne","Friedrich Nietzsche "
"Adalbert Stifter","Friedrich Nietzsche "
"Arthur Schopenhauer","Friedrich Nietzsche "
"Empedocles","Friedrich Nietzsche "
"Heraclitus","Friedrich Nietzsche "
"Parmenides","Friedrich Nietzsche "
"Protagoras","Friedrich Nietzsche "
"Friedrich Albert Lange","Friedrich Nietzsche "
"Baruch Spinoza","Friedrich Nietzsche "
"Epicurus","Friedrich Nietzsche "
"Gottfried Leibniz","Friedrich Nietzsche "
"Immanuel Kant","Friedrich Nietzsche "
"Niccolò Machiavelli","Friedrich Nietzsche "
"Voltaire","Friedrich Nietzsche "
"Max Stirner","Friedrich Nietzsche "
"George Gurdjieff","Frank Lloyd Wright "
"Julian Coolidge","Franklin D. Roosevelt "
"Georg Wilhelm Friedrich Hegel","Francis Fukuyama "
"Samuel P. Huntington","Francis Fukuyama "
"Leo Strauss","Francis Fukuyama "
"Allan Bloom","Francis Fukuyama "
"Luís de Camões","Fernando Pessoa "
"Camilo Pessanha","Fernando Pessoa "
"Joseph de Maistre","Francisco Franco "
"Charlie Chaplin","Federico Fellini "
"Franz Kafka","Federico Fellini "
"Ennio Flaiano","Federico Fellini "
"John Locke","George Berkeley "
"Nicolas Malebranche","George Berkeley "
"Lloyd Alexander","George R. R. Martin "
"Roger Zelazny","George R. R. Martin "
"H. P. Lovecraft","George R. R. Martin "
"Robert E. Howard","George R. R. Martin "
"Jack Vance","George R. R. Martin "
"Robert A. Heinlein","George R. R. Martin "
"Paul Gauguin","Georges Braque "
"Paul Cézanne","Georges Braque "
"Franz Unger","Gregor Mendel "
"Friedrich Wilhelm Joseph Schelling","Georg Wilhelm Friedrich Hegel "
"Johann Wolfgang von Goethe","Georg Wilhelm Friedrich Hegel "
"Johannes Scotus Eriugena","Georg Wilhelm Friedrich Hegel "
"Johann Gottlieb Fichte","Georg Wilhelm Friedrich Hegel "
"Jean-Jacques Rousseau","Georg Wilhelm Friedrich Hegel "
"Nicholas of Cusa","Georg Wilhelm Friedrich Hegel "
"Heraclitus","Georg Wilhelm Friedrich Hegel "
"Giambattista Vico","Georg Wilhelm Friedrich Hegel "
"Friedrich Heinrich Jacobi","Georg Wilhelm Friedrich Hegel "
"Johann Gottfried Herder","Georg Wilhelm Friedrich Hegel "
"Jakob Böhme","Georg Wilhelm Friedrich Hegel "
"Baruch Spinoza","Georg Wilhelm Friedrich Hegel "
"Immanuel Kant","Georg Wilhelm Friedrich Hegel "
"Montesquieu","Georg Wilhelm Friedrich Hegel "
"Sextus Empiricus","Georg Wilhelm Friedrich Hegel "
"Anselm of Canterbury    1","Georg Wilhelm Friedrich Hegel "
"Rousas John Rushdoony","Gary North (Christian Reconstructionist) "
"Nicholas of Cusa","Giordano Bruno "
"Wassily Leontief","George Dantzig "
"Thomas Henry Huxley","H. G. Wells "
"Jules Verne","H. G. Wells "
"Jonathan Swift","H. G. Wells "
"Samuel Richardson","Henry Fielding "
"Johannes Scotus Eriugena","Hildegard of Bingen "
"Jorge Luis Borges","Italo Calvino "
"Laurence Sterne","Italo Calvino "
"Samuel Beckett","Italo Calvino "
"Abbie Hoffman","Jello Biafra "
"Nicholas of Cusa","Johannes Kepler "
"Pythagoras","Johannes Kepler "
"Alhazen","Johannes Kepler "
"Dante Alighieri","Jorge Luis Borges "
"George Berkeley","Jorge Luis Borges "
"Robert Louis Stevenson","Jorge Luis Borges "
"Franz Kafka","Jorge Luis Borges "
"Virgil","Jorge Luis Borges "
"Victor Hugo","Jorge Luis Borges "
"Arthur Schopenhauer","Jorge Luis Borges "
"H. P. Lovecraft","Jorge Luis Borges "
"Oscar Wilde","Jorge Luis Borges "
"Søren Kierkegaard","Jorge Luis Borges "
"G. K. Chesterton","Jorge Luis Borges "
"Rudyard Kipling","Jorge Luis Borges "
"Ambrose Bierce","Jorge Luis Borges "
"Thomas Browne","Jorge Luis Borges "
"Rafael Barrett","Jorge Luis Borges "
"Marcel Proust","Jean Cocteau "
"Victor Hugo","Jean Cocteau "
"William S. Burroughs","Jack Kerouac "
"Marcel Proust","Jack Kerouac "
"Jack London","Jack Kerouac "
"Louis-Ferdinand Céline","Jack Kerouac "
"Arthur Rimbaud","Jack Kerouac "
"Mark Van Doren","Jack Kerouac "
"Hart Crane","Jack Kerouac "
"John Fante","Jack Kerouac "
"Charles Alston","Jacob Lawrence "
"Augusta Savage","Jacob Lawrence "
"Michael David (painter)","Jackson Pollock "
"Thomas Hart Benton (painter)","Jackson Pollock "
"Stanley William Hayter","Jackson Pollock "
"Mark Tobey","Jackson Pollock "
"Alfonso A. Ossorio","Jackson Pollock "
"Friedrich Nietzsche","Jean-Paul Sartre "
"Georg Wilhelm Friedrich Hegel","Jean-Paul Sartre "
"Albert Camus","Jean-Paul Sartre "
"André Gide","Jean-Paul Sartre "
"Edmund Husserl","Jean-Paul Sartre "
"Louis-Ferdinand Céline","Jean-Paul Sartre "
"John Dos Passos","Jean-Paul Sartre "
"Alexander Herzen","Jean-Paul Sartre "
"Arthur Schopenhauer","Jean-Paul Sartre "
"Gustave Flaubert","Jean-Paul Sartre "
"Karl Marx","Jean-Paul Sartre "
"Søren Kierkegaard","Jean-Paul Sartre "
"Immanuel Kant","Jean-Paul Sartre "
"Voltaire","Jean-Paul Sartre "
"Friedrich Engels","Jean-Paul Sartre "
"Simone de Beauvoir","Jean-Paul Sartre "
"Karl Jaspers","Jean-Paul Sartre "
"Franco Basaglia","Jean-Paul Sartre "
"Robert A. Heinlein","Jerry Pournelle "
"James Thurber","Kurt Vonnegut "
"Louis-Ferdinand Céline","Kurt Vonnegut "
"Joseph Heller","Kurt Vonnegut "
"William March","Kurt Vonnegut "
"George Bernard Shaw","Kurt Vonnegut "
"Theodore Sturgeon","Kurt Vonnegut "
"George Orwell","Kurt Vonnegut "
"Virgil","Ludovico Ariosto "
"Posidonius","Livy "
"Robert A. Heinlein","Larry Niven "
"Edward Plunkett, 18th Baron of Dunsany","Michael Moorcock "
"T. H. White","Michael Moorcock "
"Edgar Rice Burroughs","Michael Moorcock "
"Robert E. Howard","Michael Moorcock "
"Jack Vance","Michael Moorcock "
"Fritz Leiber","Michael Moorcock "
"J. G. Ballard","Michael Moorcock "
"Georg Wilhelm Friedrich Hegel","Max Horkheimer "
"Arthur Schopenhauer","Max Horkheimer "
"Proclus","Marsilio Ficino "
"Epictetus","Marcus Aurelius "
"Zeno of Citium","Marcus Aurelius "
"Roger Penrose","Michael Atiyah "
"Carlos Pezoa Véliz","Nicanor Parra "
"Johann Wolfgang von Goethe","Nikola Tesla "
"Ernst Mach","Nikola Tesla "
"Zeno of Elea","Plato "
"Heraclitus","Plato "
"Pythagoras","Plato "
"Parmenides","Plato "
"Protagoras","Plato "
"Socrates","Plato "
"William S. Burroughs","Patti Smith "
"William Blake","Patti Smith "
"Arthur Rimbaud","Patti Smith "
"Allen Ginsberg","Patti Smith "
"Jorge Luis Borges","Philip K. Dick "
"Samuel Beckett","Philip K. Dick "
"Lloyd Alexander","Piers Anthony "
"Simone Weil","Pope Paul VI "
"Stephen King","Peter David "
"Harlan Coben","Peter David "
"Robert Crais","Peter David "
"Robert B. Parker","Peter David "
"Jorge Luis Borges","Paul Auster "
"Kurt Vonnegut","Paul Auster "
"Albert Camus","Paul Auster "
"Samuel Beckett","Paul Auster "
"William F. Buckley, Jr.","Rush Limbaugh "
"H. G. Wells","Ray Bradbury "
"Jack Williamson","Ray Bradbury "
"Edgar Rice Burroughs","Ray Bradbury "
"Stanley G. Weinbaum","Ray Bradbury "
"H. P. Lovecraft","Ray Bradbury "
"Theodore Sturgeon","Ray Bradbury "
"George Orwell","Ray Bradbury "
"Sherwood Anderson","Ray Bradbury "
"André Gide","Rainer Maria Rilke "
"Leconte de Lisle","Rainer Maria Rilke "
"Søren Kierkegaard","Rainer Maria Rilke "
"Kyriakos Charalambides","Rainer Maria Rilke "
"Jens Peter Jacobsen","Rainer Maria Rilke "
"R. D. Blackmore","Robert Louis Stevenson "
"Ray Bradbury","Stephen King "
"Bram Stoker","Stephen King "
"Richard Matheson","Stephen King "
"Robert Bloch","Stephen King "
"Rod Serling","Stephen King "
"Shirley Jackson","Stephen King "
"Stanley G. Weinbaum","Stephen King "
"John D. MacDonald","Stephen King "
"W. W. Jacobs","Stephen King "
"H. P. Lovecraft","Stephen King "
"Alexandre Dumas","Stephen King "
"Liviu Rebreanu","Stephen King "
"Fritz Leiber","Stephen King "
"William Golding","Stephen King "
"M. R. James","Stephen King "
"Thomas Hardy","Stephen King "
"Daphne du Maurier","Stephen King "
"Italo Calvino","Salman Rushdie "
"Raoul Schrott","Salman Rushdie "
"Franz Kafka","Salman Rushdie "
"Gabriel García Márquez","Salman Rushdie "
"Günter Grass","Salman Rushdie "
"Saul Bellow","Salman Rushdie "
"Oscar Wilde","Saki "
"George Berkeley","Thomas Reid "
"Joseph Butler    1","Thomas Reid "
"Charles Lyell","Thomas Henry Huxley "
"David Hume","Thomas Henry Huxley "
"Charles Darwin","Thomas Henry Huxley "
"Johann Wolfgang von Goethe","Thomas Mann "
"Adalbert Stifter","Thomas Mann "
"Arthur Schopenhauer","Thomas Mann "
"Knut Hamsun","Thomas Mann "
"George Eliot","Thomas Mann "
"Max Stirner","Thomas Mann "
"Jens Peter Jacobsen","Thomas Mann "
"Mario Szenessy","Thomas Mann "
"Dante Alighieri","T. S. Eliot "
"Joel Chandler Harris","T. S. Eliot "
"Evelyn Underhill","T. S. Eliot "
"Robert Browning","T. S. Eliot "
"John Davidson (poet)","T. S. Eliot "
"John Donne","T. S. Eliot "
"Kyriakos Charalambides","T. S. Eliot "
"Matthew Arnold","T. S. Eliot "
"F. H. Bradley","T. S. Eliot "
"Owen Barfield","T. S. Eliot "
"Oscar Wilde","Tom Stoppard "
"Samuel Beckett","Tom Stoppard "
"Desiderius Erasmus","Thomas More "
"Giovanni Pico della Mirandola","Thomas More "
"Terence McKenna","Timothy Leary "
"Eric Berne","Timothy Leary "
"Marshall McLuhan","Timothy Leary "
"Anton Mauve","Vincent van Gogh "
"Niels Bohr","Werner Heisenberg "
"Helmuth Kulenkampff","Werner Heisenberg "
"Jean-Paul Sartre","William S. Burroughs "
"Louis-Ferdinand Céline","William S. Burroughs "
"Arthur Rimbaud","William S. Burroughs "
"Jonathan Swift","William S. Burroughs "
"Samuel Beckett","William S. Burroughs "
"Tristan Tzara","William S. Burroughs "
"Richard Evans Schultes","William S. Burroughs "
"Bruno Schulz","Witold Gombrowicz "
"H. G. Wells","Kevin J. Anderson "
"Friedrich Nietzsche","Martin Heidegger "
"Georg Wilhelm Friedrich Hegel","Martin Heidegger "
"Plato","Martin Heidegger "
"Rainer Maria Rilke","Martin Heidegger "
"Friedrich Wilhelm Joseph Schelling","Martin Heidegger "
"Duns Scotus","Martin Heidegger "
"Edmund Husserl","Martin Heidegger "
"Franz Brentano","Martin Heidegger "
"Meister Eckhart","Martin Heidegger "
"Heraclitus","Martin Heidegger "
"Parmenides","Martin Heidegger "
"Søren Kierkegaard","Martin Heidegger "
"Friedrich Heinrich Jacobi","Martin Heidegger "
"Gottfried Leibniz","Martin Heidegger "
"Immanuel Kant","Martin Heidegger "
"Karl Jaspers","Martin Heidegger "
"Wilhelm Dilthey","Martin Heidegger "
"Giovanni Gentile","Martin Heidegger "
"Franco Basaglia","Martin Heidegger "
"Emil Lask","Martin Heidegger "
"Virgil","Ovid "
"Lucretius","Ovid "
"Karl Marx","Fidel Castro "
"Poul Anderson","Gregory Benford "
"Anton Chekhov","Mikhail Bulgakov "
"Charles Scott Sherrington","Howard Florey "
"Ray Bradbury","Leigh Brackett "
"Edgar Rice Burroughs","Leigh Brackett "
"Robert E. Howard","Leigh Brackett "
"André Gide","André Malraux "
"Harold Lloyd","Buster Keaton "
"Jocelyn Herbert","Laurence Olivier "
"Joseph Ginat","Yitzhak Rabin "
"Robert G. Ingersoll","Lew Wallace "
"Lev Shestov","D. H. Lawrence "
"Thomas Hardy","D. H. Lawrence "
"Jens Peter Jacobsen","D. H. Lawrence "
"D. H. Lawrence","Tennessee Williams "
"August Strindberg","Tennessee Williams "
"Hart Crane","Tennessee Williams "
"Anton Chekhov","Tennessee Williams "
"Gustave Flaubert","Émile Zola "
"Alexander Lernet-Holenia","Billy Wilder "
"Jorge Luis Borges","David Foster Wallace "
"Don DeLillo","David Foster Wallace "
"John Updike","David Foster Wallace "
"Julio Cortázar","David Foster Wallace "
"David Markson","David Foster Wallace "
"Hermann Lotze","Gottlob Frege "
"Friedrich Adolf Trendelenburg","Gottlob Frege "
"Fernando Pessoa","José Saramago "
"Jorge Luis Borges","José Saramago "
"Nikolai Gogol","José Saramago "
"Raoul Schrott","José Saramago "
"Franz Kafka","José Saramago "
"Michel de Montaigne","José Saramago "
"Günter Grass","José Saramago "
"Miguel de Cervantes","José Saramago "
"Joaquim Maria Machado de Assis","José Saramago "
"Herbert Marcuse","Angela Davis "
"William S. Burroughs","Irvine Welsh "
"Victor Hugo","Irvine Welsh "
"Louis-Ferdinand Céline","Irvine Welsh "
"Søren Kierkegaard","Irvine Welsh "
"Edwin Morgan (poet)","Irvine Welsh "
"Joseph Ginat","Shimon Peres "
"Cicero","Pierre-Joseph Proudhon "
"Hugo Grotius","Pierre-Joseph Proudhon "
"Dick Gregory","Lenny Bruce "
"Mort Sahl","Lenny Bruce "
"Irwin Corey","Lenny Bruce "
"Robert G. Ingersoll","Sinclair Lewis "
"Richard Harding Davis","Sinclair Lewis "
"Pierre-Joseph Proudhon","Peter Kropotkin "
"Karl Marx","Peter Kropotkin "
"William Godwin","Peter Kropotkin "
"Henri Bergson","Nikos Kazantzakis "
"Grigol Robakidze","Nikos Kazantzakis "
"Robert W. Chambers","Marion Zimmer Bradley "
"Friedrich Nietzsche","Jacques Derrida "
"Ferdinand de Saussure","Jacques Derrida "
"Georg Wilhelm Friedrich Hegel","Jacques Derrida "
"Paul Ricœur","Jacques Derrida "
"Edmund Husserl","Jacques Derrida "
"Jean-Jacques Rousseau","Jacques Derrida "
"Søren Kierkegaard","Jacques Derrida "
"Kostas Axelos","Jacques Derrida "
"Pedro Calderón de la Barca","Jerzy Grotowski "
"Alexandre Kojève","Raymond Queneau "
"Jean-Jacques Rousseau","Simón Bolívar "
"Benedetto Croce","Antonio Gramsci "
"Antonio Labriola","Antonio Gramsci "
"Karl Marx","Antonio Gramsci "
"Giambattista Vico","Antonio Gramsci "
"Niccolò Machiavelli","Antonio Gramsci "
"Georges Sorel","Antonio Gramsci "
"Roger Zelazny","Steven Brust "
"Alexandre Dumas","Steven Brust "
"Liviu Rebreanu","Steven Brust "
"Edmund Spenser","Alfred, Lord Tennyson "
"D. H. Lawrence","Charles Bukowski "
"Albert Camus","Charles Bukowski "
"Franz Kafka","Charles Bukowski "
"James Thurber","Charles Bukowski "
"Louis-Ferdinand Céline","Charles Bukowski "
"Robinson Jeffers","Charles Bukowski "
"Knut Hamsun","Charles Bukowski "
"John Fante","Charles Bukowski "
"Anton Chekhov","Charles Bukowski "
"Sherwood Anderson","Charles Bukowski "
"Michael David (painter)","Jasper Johns "
"Hart Crane","Jasper Johns "
"James Reaney","Margaret Atwood "
"Jack London","Margaret Atwood "
"Doris Lessing","Margaret Atwood "
"George Orwell","Margaret Atwood "
"George Eliot","Margaret Atwood "
"Alice Munro","Margaret Atwood "
"Margaret Laurence","Margaret Atwood "
"Jean-Paul Sartre","Iris Murdoch "
"Marcel Proust","Iris Murdoch "
"Simone Weil","Iris Murdoch "
"Margaret Laurence","Carol Shields "
"Henri Rousseau","Fernand Léger "
"William Ross Ashby","Norbert Wiener "
"Henri Barbusse","Erich Maria Remarque "
"G. K. Chesterton","Evelyn Waugh "
"Gordon Lish","Barry Hannah "
"Marcel Proust","Graham Greene "
"G. K. Chesterton","Graham Greene "
"H. P. Lovecraft","Ramsey Campbell "
"Robert E. Howard","Ramsey Campbell "
"Fritz Leiber","Ramsey Campbell "
"M. R. James","Ramsey Campbell "
"Algernon Blackwood","Ramsey Campbell "
"Edgar Rice Burroughs","Philip José Farmer "
"Karl Marx","Ho Chi Minh "
"Baruch Spinoza","David Ben-Gurion "
"Tristan Tzara","Louis Aragon "
"Dante Alighieri","Sandro Botticelli "
"Gustave Courbet","James Abbott McNeill Whistler "
"Robert Walter Weir","James Abbott McNeill Whistler "
"Jack Kerouac","Jerry Garcia "
"Ken Kesey","Jerry Garcia "
"Wally Hedrick","Jerry Garcia "
"Jacques Lacan","Louis Althusser "
"Ferdinand de Saussure","Louis Althusser "
"Antonio Gramsci","Louis Althusser "
"Baruch Spinoza","Louis Althusser "
"Niccolò Machiavelli","Louis Althusser "
"Gaston Bachelard","Louis Althusser "
"Ludovico Ariosto","Luís de Camões "
"Fernão Lopes de Castanheda","Luís de Camões "
"Ernest Rutherford","Hans Geiger "
"Josiah Warren","Lysander Spooner "
"Gustave Flaubert","Alphonse Daudet "
"Jack Smith (film director)","David Byrne "
"Ayn Rand","Terry Goodkind "
"M. R. James","E. F. Benson "
"Sheridan Le Fanu","Henry James "
"Guy de Maupassant","Henry James "
"Ivan Turgenev","Henry James "
"Alexander Pushkin","Henry James "
"Richard Hofstadter","Howard Zinn "
"Paul Mooney (comedian)","Sandra Bernhard "
"Robert A. Heinlein","John Varley (author) "
"Edmund Husserl","Emmanuel Levinas "
"Émile Durkheim","Emmanuel Levinas "
"Martin Buber","Emmanuel Levinas "
"Gabriel Marcel","Emmanuel Levinas "
"Baruch Spinoza","Emmanuel Levinas "
"Vladimir Nabokov","Don DeLillo "
"Flannery O'Connor","Don DeLillo "
"John Dos Passos","Don DeLillo "
"Norman Mailer","Don DeLillo "
"J. G. Ballard","Don DeLillo "
"Samuel Beckett","Don DeLillo "
"G. K. Chesterton","Rich Mullins "
"George R. R. Martin","Michael Chabon "
"Michael Moorcock","Michael Chabon "
"Paul Auster","Michael Chabon "
"Philip Roth","Michael Chabon "
"Vladimir Nabokov","Michael Chabon "
"Gabriel García Márquez","Michael Chabon "
"John Cheever","Michael Chabon "
"Gustave Flaubert","Michael Chabon "
"Jack Vance","Michael Chabon "
"Richard Yates (novelist)","Michael Chabon "
"Oakley Hall","Michael Chabon "
"David Leavitt","Michael Chabon "
"Robert S. Barton","James H. Clark "
"August Wilhelm von Hofmann","William Henry Perkin "
"Soupy Sales","Andy Kaufman "
"Knut Hamsun","Stefan Zweig "
"Grigol Robakidze","Stefan Zweig "
"Jens Peter Jacobsen","Stefan Zweig "
"Alexander Lernet-Holenia","Stefan Zweig "
"Garrett Birkhoff","Gian-Carlo Rota "
"Robert Benchley","Steve Martin "
"Irwin Corey","Tom Smothers "
"Margaret Laurence","Adele Wiseman "
"Arthur Quiller-Couch","Alistair Cooke "
"N.C. Wyeth","Andrew Wyeth "
"George Boole","Augustus De Morgan "
"William Whewell","Augustus De Morgan "
"Karl Korsch","Bertolt Brecht "
"Kyriakos Charalambides","Constantine P. Cavafy "
"Lenny Bruce","Howard Stern "
"Don Rickles","Howard Stern "
"Alexander Pushkin","Nikolai Gogol "
"Parmenides","Zeno of Elea "
"Johann Wolfgang von Goethe","Jean-Baptiste Lamarck "
"Georges-Louis Leclerc, Comte de Buffon","Jean-Baptiste Lamarck "
"Donald Goines","Nas "
"Elizabeth Barrett Browning","Dante Gabriel Rossetti "
"Malcolm Hardee","Paul Merton "
"Oscar Wilde","Paul Merton "
"Raoul Schrott","Philip Roth "
"Franz Kafka","Philip Roth "
"Louis-Ferdinand Céline","Philip Roth "
"Günter Grass","Philip Roth "
"J. D. Salinger","Philip Roth "
"Emily Brontë","Philip Roth "
"Saul Bellow","Philip Roth "
"Alessandro Piperno","Philip Roth "
"Jack Paar","Don Rickles "
"Nicholas of Cusa","Giovanni Pico della Mirandola "
"Murray Rothbard","Jan Narveson "
"Conrad Hal Waddington","Gregory Bateson "
"Kyriakos Charalambides","Giorgos Seferis "
"Stéphane Mallarmé","Paul Verlaine "
"Victor Hugo","Paul Verlaine "
"Leconte de Lisle","Paul Verlaine "
"Bruce Nauman","Rachel Whiteread "
"Juan Tyrone Garcia","Stephen Chow "
"Jack Smith (film director)","Cindy Sherman "
"Lenny Bruce","David Cross "
"Sam Kinison","David Cross "
"C. S. Forester","David Weber "
"Samuel Beckett","Derek Mahon "
"Barry Hannah","Donna Tartt "
"Bob Newhart","Ellen DeGeneres "
"Johnny Carson","Ellen DeGeneres "
"Dino Campana","Eugenio Montale "
"Giuseppe Ungaretti","Eugenio Montale "
"William Styron","George Plimpton "
"Steve Martin","Howie Mandel "
"Larry David","Ricky Gervais "
"Paul Merton","Ricky Gervais "
"Groucho Marx","Ricky Gervais "
"Jerry Seinfeld","Ricky Gervais "
"Garry Shandling","Ricky Gervais "
"Robert G. Ingersoll","Henry Ward Beecher "
"Alexandru Macedonski","Aleksandër Stavre Drenova "
"George Schaller","Dian Fossey "
"Niels Bohr","Max Delbrück "
"Kenneth Waltz","Stephen Walt "
"Karl Marx","Rosa Luxemburg "
"Friedrich Engels","Rosa Luxemburg "
"Thomas Mann","Michel Houellebecq "
"Bret Easton Ellis","Michel Houellebecq "
"Louis-Ferdinand Céline","Michel Houellebecq "
"Aldous Huxley","Michel Houellebecq "
"Arthur Schopenhauer","Michel Houellebecq "
"H. P. Lovecraft","Michel Houellebecq "
"Claude Vorilhon","Michel Houellebecq "
"Philip Burton Moon","James Chadwick "
"Søren Kierkegaard","Viktor Frankl "
"Sigmund Freud","Viktor Frankl "
"Alice Dayrell Caldeira Brant","Elizabeth Bishop "
"Giordano Bruno","Friedrich Wilhelm Joseph Schelling "
"Johann Wolfgang von Goethe","Friedrich Wilhelm Joseph Schelling "
"Johann Gottlieb Fichte","Friedrich Wilhelm Joseph Schelling "
"Jakob Böhme","Friedrich Wilhelm Joseph Schelling "
"Baruch Spinoza","Friedrich Wilhelm Joseph Schelling "
"Immanuel Kant","Friedrich Wilhelm Joseph Schelling "
"Adalbert Stifter","Marianne Moore "
"Cornelius Van Til","Francis Schaeffer "
"Rousas John Rushdoony","Francis Schaeffer "
"John Millington Synge","Peig Sayers "
"Victor Hugo","Gérard de Nerval "
"Donald Goines","Ghostface Killah "
"Frank C. Matthews","Ghostface Killah "
"Don DeLillo","Bret Easton Ellis "
"David Leavitt","Bret Easton Ellis "
"Binet-Valmer","Georges Simenon "
"Joseph Ginat","Levi Eshkol "
"Martin Lawrence","Chris Tucker "
"Muhammad Husayn Tabatabaei","Hossein Nasr "
"George Gurdjieff","Osho (Bhagwan Shree Rajneesh) "
"Kitaro Nishida","Kuki Shūzō "
"Henri Bergson","Kuki Shūzō "
"Raymond Carver","Richard Ford "
"John Updike","Richard Ford "
"Richard Yates (novelist)","Richard Ford "
"Oakley Hall","Richard Ford "
"Gordon Lish","Richard Ford "
"Andre Dubus","Richard Ford "
"Malcolm Hardee","Keith Allen (actor) "
"Guy de Maupassant","Raymond Carver "
"Richard Yates (novelist)","Raymond Carver "
"Gordon Lish","Raymond Carver "
"Anton Chekhov","Raymond Carver "
"Andre Dubus","Raymond Carver "
"Kurt Vonnegut","Louis Sachar "
"J. D. Salinger","Louis Sachar "
"Laura Ingalls Wilder","Rose Wilder Lane "
"Isabel Paterson","Rose Wilder Lane "
"Edmund Burke","B. R. Ambedkar "
"Jyotirao Phule","B. R. Ambedkar "
"Nezami Ganjavi","Hafez "
"August Strindberg","Oskar Kokoschka "
"Edwin Morgan (poet)","Richard Price "
"Jean-François Lyotard","Richard Rorty "
"Wilfrid Sellars","Richard Rorty "
"Thomas Kuhn","Richard Rorty "
"Vladimir Nabokov","Richard Rorty "
"William James","Richard Rorty "
"Donald Davidson (philosopher)","Richard Rorty "
"Gianni Vattimo","Richard Rorty "
"Hubert Dreyfus","Richard Rorty "
"Hans-Georg Gadamer","Richard Rorty "
"Walter Scott","James Fenimore Cooper "
"Herbert Spencer","Henry Sidgwick "
"Friedrich Nietzsche","Leo Strauss "
"Georg Wilhelm Friedrich Hegel","Leo Strauss "
"Jean-Jacques Rousseau","Leo Strauss "
"Eric Voegelin","Leo Strauss "
"Maimonides","Leo Strauss "
"Ernst Cassirer","Leo Strauss "
"Baruch Spinoza","Leo Strauss "
"Immanuel Kant","Leo Strauss "
"Gene Wolfe","Michael Swanwick "
"George Gurdjieff","Peter Brook "
"George Gurdjieff","Maurice Nicoll "
"Johann Dieter Wassmann","Joseph Cornell "
"Arthur Wieferich","Edmund Landau "
"Thomas Prince","Thomas Hutchinson (governor) "
"Percy Bysshe Shelley","Gregory Corso "
"Friedrich Adolf Trendelenburg","Rudolf Christoph Eucken "
"Lenny Bruce","Richard Pryor "
"Paul Mooney (comedian)","Richard Pryor "
"Dick Gregory","Richard Pryor "
"Redd Foxx","Richard Pryor "
"Moms Mabley","Richard Pryor "
