1944,Gérard Côté, Canada,2:31:50,151.8333333333,,,,0
1945,John A. Kelley, United States (MA),2:30:40,150.6666666667,,,,0
1946,Stylianos Kyriakides, Greece,2:29:27,149.45,,,,0
1947,Suh Yun-bok, South Korea,2:25:39,145.65,,,,0
1948,Gérard Côté, Canada,2:31:02,151.0333333333,,,,0
1949,Karl Leandersson, Sweden,2:31:50,151.8333333333,,,,0
1950,Ham Kee-Yong, South Korea,2:32:39,152.65,,,,0
1951,Shigeki Tanaka, Japan,2:27:45,147.75,,,,0
1952,Doroteo Flores, Guatemala,2:31:53,151.8833333333,,,,0
1953,Keizo Yamada, Japan,2:18:51,138.85,,,,0
1954,Veikko Karvonen, Finland,2:20:39,140.65,,,,0
1955,Hideo Hamamura, Japan,2:18:22,138.3666666667,,,,0
1956,Antti Viskari, Finland,2:14:14,134.2333333333,,,,0
1957,John J. Kelley, United States (CT),2:20:05,140.0833333333,,,,0
1958,Franjo Mihalić, Yugoslavia,2:25:54,145.9,,,,0
1959,Eino Oksanen, Finland,2:22:42,142.7,,,,0
1960,Paavo Kotila, Finland,2:20:54,140.9,,,,0
1961,Eino Oksanen, Finland,2:23:39,143.65,,,,0
1962,Eino Oksanen, Finland,2:23:48,143.8,,,,0
1963,Aurèle Vandendriessche, Belgium,2:18:58,138.9666666667,,,,0
1964,Aurèle Vandendriessche, Belgium,2:19:59,139.9833333333,,,,0
1965,Morio Shigematsu, Japan,2:16:33,136.55,,,,0
1966,Kenji Kimihara, Japan,2:17:11,137.1833333333,Bobbi Gibb, United States (MA),3:21:40,201.6666666667
1967,David McKenzie, New Zealand,2:15:45,135.75,Bobbi Gibb, United States (CA),3:27:17,207.2833333333
1968,Amby Burfoot, United States (CT),2:22:17,142.2833333333,Bobbi Gibb, United States (CA),3:30:00,210
1969,Yoshiaki Unetani, Japan,2:13:49,133.8166666667,Sara Mae Berman, United States (MA),3:22:46,202.7666666667
1970,Ron Hill, United Kingdom,2:10:30,130.5,Sara Mae Berman, United States (MA),3:05:07,185.1166666667
1971,Álvaro Mejía, Colombia,2:18:45,138.75,Sara Mae Berman, United States (MA),3:08:30,188.5
1972,Olavi Suomalainen, Finland,2:15:39,135.65,Nina Kuscsik, United States (NY),3:10:26,190.4333333333
1973,Jon Anderson, United States (OR),2:16:03,136.05,Jacqueline Hansen, United States (CA),3:05:59,185.9833333333
1974,Neil Cusack, Ireland,2:13:39,133.65,Miki Gorman, United States (CA),2:47:11,167.1833333333
1975,Bill Rodgers, United States (MA),2:09:55,129.9166666667,Liane Winter, West Germany,2:42:24,162.4
1976,Jack Fultz, United States (VA),2:20:19,140.3166666667,Kim Merritt, United States (WI),2:47:10,167.1666666667
1977,Jerome Drayton, Canada,2:14:46,134.7666666667,Miki Gorman, United States (CA),2:48:33,168.55
1978,Bill Rodgers, United States (MA),2:10:13,130.2166666667,Gayle S. Barron, United States (GA),2:44:52,164.8666666667
1979,Bill Rodgers, United States (MA),2:09:27,129.45,Joan Benoit, United States (ME),2:35:15,155.25
1980,Bill Rodgers, United States (MA),2:12:11,132.1833333333,Jacqueline Gareau, Canada,2:34:28,154.4666666667
1981,Toshihiko Seko, Japan,2:09:26,129.4333333333,Allison Roe, New Zealand,2:26:46,146.7666666667
1982,Alberto Salazar, United States (MA),2:08:52,128.8666666667,Charlotte Teske, West Germany,2:29:33,149.55
1983,Greg Meyer, United States (MI),2:09:00,129,Joan Benoit, United States (ME),2:22:43,142.7166666667
1984,Geoff Smith, United Kingdom,2:10:34,130.5666666667,Lorraine Moller, New Zealand,02:29:28,149.4666666667
1985,Geoff Smith, United Kingdom,2:14:05,134.0833333333,Lisa Larsen Weidenbach, United States (MI),02:34:06,154.1
1986,Robert de Castella, Australia,2:07:51,127.85,Ingrid Kristiansen, Norway,2:24:55,144.9166666667
1987,Toshihiko Seko, Japan,2:11:50,131.8333333333,Rosa Mota, Portugal,2:25:21,145.35
1988,Ibrahim Hussein, Kenya,2:08:43,128.7166666667,Rosa Mota, Portugal,2:24:30,144.5
1989,Abebe Mekonnen, Ethiopia,2:09:06,129.1,Ingrid Kristiansen, Norway,2:24:33,144.55
1990,Gelindo Bordin, Italy,2:08:19,128.3166666667,Rosa Mota, Portugal,2:25:24,145.4
1991,Ibrahim Hussein, Kenya,2:11:06,131.1,Wanda Panfil, Poland,2:24:18,144.3
1992,Ibrahim Hussein, Kenya,2:08:14,128.2333333333,Olga Markova, Russia,2:23:43,143.7166666667
1993,Cosmas Ndeti, Kenya,2:09:33,129.55,Olga Markova, Russia,2:25:27,145.45
1994,Cosmas Ndeti, Kenya,2:07:15,127.25,Uta Pippig, Germany,2:21:45,141.75
1995,Cosmas Ndeti, Kenya,2:09:22,129.3666666667,Uta Pippig, Germany,2:25:11,145.1833333333
1996,Moses Tanui, Kenya,2:09:15,129.25,Uta Pippig, Germany,2:27:12,147.2
1997,Lameck Aguta, Kenya,2:10:34,130.5666666667,Fatuma Roba, Ethiopia,2:26:23,146.3833333333
1998,Moses Tanui, Kenya,2:07:34,127.5666666667,Fatuma Roba, Ethiopia,2:23:21,143.35
1999,Joseph Chebet, Kenya,2:09:52,129.8666666667,Fatuma Roba, Ethiopia,2:23:25,143.4166666667
2000,Elijah Lagat, Kenya,2:09:47,129.7833333333,Catherine Ndereba, Kenya,2:26:11,146.1833333333
2001,Lee Bong-Ju, South Korea,2:09:43,129.7166666667,Catherine Ndereba, Kenya,2:23:53,143.8833333333
2002,Rodgers Rop, Kenya,2:09:02,129.0333333333,Margaret Okayo, Kenya,2:20:43,140.7166666667
2003,Robert Kipkoech Cheruiyot, Kenya,2:10:11,130.1833333333,Svetlana Zakharova, Russia,2:25:19,145.3166666667
2004,Timothy Cherigat, Kenya,2:10:37,130.6166666667,Catherine Ndereba, Kenya,2:24:27,144.45
2005,Hailu Negussie, Ethiopia,2:11:44,131.7333333333,Catherine Ndereba, Kenya,2:25:12,145.2
2006,Robert Kipkoech Cheruiyot, Kenya,2:07:14,127.2333333333,Rita Jeptoo, Kenya,2:23:38,143.6333333333
2007,Robert Kipkoech Cheruiyot, Kenya,2:14:13,134.2166666667,Lidiya Grigoryeva, Russia,2:29:18,149.3
2008,Robert Kipkoech Cheruiyot, Kenya,2:07:45,127.75,Dire Tune, Ethiopia,2:25:25,145.4166666667
2009,Deriba Merga, Ethiopia,2:08:42,128.7,Salina Kosgei, Kenya,2:32:16,152.2666666667
2010,Robert Kiprono Cheruiyot, Kenya,2:05:52,125.8666666667,Teyba Erkesso, Ethiopia,2:26:11,146.1833333333
2011,Geoffrey Mutai, Kenya,2:03:02,123.0333333333,Caroline Kilel, Kenya,2:22:36,142.6
2012,Wesley Korir, Kenya,2:12:40,132.6666666667,Sharon Cherop, Kenya,2:31:50,151.8333333333
2013,Lelisa Desisa Benti, Ethiopia,2:10:22,130.3666666667,Rita Jeptoo, Kenya,2:26:25,146.4166666667
2014,Meb Keflezighi, United States (CA),2:08:37,128.6166666667,Rita Jeptoo, Kenya,2:18:57,138.95
